insolation_flux,transit_depth,stellar_rad,planet_radius,orbital_period,stellar_logg,mission,disposition,equilibrium_temp,stellar_teff,transit_duration
93.59,615.8,0.927,2.26,9.48803557,4.467,Kepler,CANDIDATE,793.0,5455.0,2.9575
9.11,874.8,0.927,2.83,54.4183827,4.467,Kepler,CANDIDATE,443.0,5455.0,4.507
39.3,10829.0,0.868,14.6,19.89913995,4.544,Kepler,CANDIDATE,638.0,5853.0,1.7822
891.96,8079.2,0.791,33.46,1.736952453,4.564,Kepler,FALSE POSITIVE,1395.0,5805.0,2.40641
926.16,603.3,1.046,2.75,2.525591777,4.438,Kepler,CANDIDATE,1406.0,6031.0,1.6545
114.81,1517.5,0.972,3.9,11.09432054,4.486,Kepler,CANDIDATE,835.0,6046.0,4.5945
427.65,686.0,0.972,2.77,4.13443512,4.486,Kepler,CANDIDATE,1160.0,6046.0,3.1402
807.74,226.5,0.972,1.59,2.56658897,4.486,Kepler,CANDIDATE,1360.0,6046.0,2.429
767.22,233.7,1.958,39.21,7.36178958,3.986,Kepler,FALSE POSITIVE,1342.0,6227.0,5.022
30.75,4914.3,0.848,5.76,16.06864674,4.485,Kepler,CANDIDATE,600.0,5031.0,3.5347
761.46,14231.0,0.964,13.04,2.470613377,4.457,Kepler,CANDIDATE,1339.0,5820.0,1.74319
4148.92,6674.7,1.952,16.1,2.204735417,4.019,Kepler,CANDIDATE,2048.0,6440.0,3.88864
1264.67,9145.7,1.451,14.59,3.522498429,4.169,Kepler,CANDIDATE,1521.0,6225.0,3.19843
500.46,131.1,1.022,1.16,3.709214104,4.407,Kepler,CANDIDATE,1206.0,5833.0,2.6302
75.88,17984.0,0.848,150.51,11.521446064,4.554,Kepler,FALSE POSITIVE,753.0,5795.0,3.6399
17.69,8918.7,0.68,7.18,19.40393776,4.591,Kepler,FALSE POSITIVE,523.0,5043.0,12.2155
55.97,74284.0,0.947,49.29,19.221388942,4.496,Kepler,FALSE POSITIVE,698.0,6117.0,4.79843
29.61,10479.0,0.786,7.94,16.46983774,4.517,Kepler,FALSE POSITIVE,595.0,5152.0,9.4378
41.85,1288.3,0.696,2.47,9.27358173,4.583,Kepler,CANDIDATE,649.0,4856.0,3.2875
50.04,1912.7,0.672,2.85,6.02930329,4.648,Kepler,CANDIDATE,678.0,4537.0,1.5821
305.34,397.9,0.819,1.58,2.696370652,4.504,Kepler,FALSE POSITIVE,1066.0,4989.0,3.6129
168.99,831.0,0.91,2.55,5.349553819,4.44,Kepler,CANDIDATE,919.0,5185.0,3.0278
253.15,363.3,0.91,1.7,3.94105221,4.44,Kepler,CANDIDATE,1018.0,5185.0,2.5984
97.03,217.4,0.91,1.3,8.10904807,4.44,Kepler,CANDIDATE,800.0,5185.0,3.596
1.84,24927.0,1.58,41.5,386.6030528,4.081,Kepler,FALSE POSITIVE,297.0,5543.0,6.8057
18.64,857.2,0.828,2.95,21.67699193,4.5,Kepler,CANDIDATE,530.0,4954.0,3.4555
166.95,934.7,0.847,2.78,4.99677968,4.552,Kepler,CANDIDATE,917.0,5339.0,2.1717
247.87,750.8,0.831,2.3,4.280963604,4.564,Kepler,CANDIDATE,1012.0,5644.0,2.875
1054.12,2211.7,0.831,4.53,1.50635409,4.563,Kepler,FALSE POSITIVE,1452.0,5714.0,1.5155
0.35,18091.0,0.983,14.14,670.645531,4.466,Kepler,FALSE POSITIVE,196.0,5520.0,53.412
15.43,5123.3,1.091,39.87,61.2563628,4.402,Kepler,FALSE POSITIVE,505.0,6144.0,7.633
18.53,724.2,1.036,2.82,38.3775486,4.369,Kepler,CANDIDATE,529.0,5481.0,5.588
8.76,2213.9,0.848,3.86,41.19725502,4.485,Kepler,CANDIDATE,439.0,5031.0,4.6297
108.3,1036.9,0.848,2.65,6.252962249,4.485,Kepler,CANDIDATE,823.0,5031.0,2.5819
29.31,1121.9,0.826,3.1,16.01308419,4.499,Kepler,CANDIDATE,593.0,5015.0,3.2554
15.55,1804.8,0.798,3.36,32.62876672,4.56,Kepler,CANDIDATE,506.0,5586.0,4.7971
